timestamp,open,high,low,close,volume
2024-07-20,6.337,6.397,6.224,6.333,1720991.41
2024-07-21,6.332,6.445,6.1,6.43,2339766.13
2024-07-22,6.43,6.476,6.08,6.096,2585309.02
2024-07-23,6.095,6.165,5.799,5.917,2986487.42
2024-07-24,5.917,5.997,5.654,5.748,2358741.13
2024-07-25,5.747,5.779,5.54,5.755,2972357.49
2024-07-26,5.755,5.891,5.726,5.867,2528303.82
2024-07-27,5.867,5.942,5.715,5.825,2061613.39
2024-07-28,5.825,5.844,5.67,5.718,1204090.29
2024-07-29,5.72,5.88,5.622,5.649,2552750.24
2024-07-30,5.65,5.726,5.481,5.519,1921244.42
2024-07-31,5.519,5.559,5.335,5.389,2644241.77
2024-08-01,5.389,5.422,5.026,5.34,4408677.71
2024-08-02,5.341,5.369,5.0,5.122,3554684.74
2024-08-03,5.123,5.209,4.854,5.045,3126943.96
2024-08-04,5.044,5.097,4.534,4.688,4876624.24
2024-08-05,4.688,4.726,3.59,4.2,21997702.93
2024-08-06,4.199,4.604,4.194,4.509,5497287.59
2024-08-07,4.509,4.641,4.403,4.579,5243270.78
2024-08-08,4.579,4.904,4.48,4.879,4847719.81
2024-08-09,4.879,4.924,4.73,4.783,2737150.09
2024-08-10,4.783,4.832,4.723,4.754,1189116.19
2024-08-11,4.753,4.829,4.466,4.495,1800885.03
2024-08-12,4.495,4.68,4.45,4.588,2055574.69
2024-08-13,4.587,4.65,4.398,4.547,2199766.63
2024-08-14,4.546,4.554,4.343,4.383,2361315.25
2024-08-15,4.383,4.481,4.227,4.277,2334737.9
2024-08-16,4.278,4.387,4.211,4.292,1920753.49
2024-08-17,4.293,4.384,4.275,4.369,859646.82
2024-08-18,4.37,4.529,4.346,4.39,2034044.35
2024-08-19,4.391,4.504,4.344,4.481,1876212.07
2024-08-20,4.481,4.604,4.455,4.524,2015995.76
2024-08-21,4.524,4.749,4.492,4.663,2872074.59
2024-08-22,4.664,4.72,4.591,4.689,3039748.99
2024-08-23,4.69,4.953,4.684,4.891,3604290.98
2024-08-24,4.892,5.1,4.845,4.981,3274573.09
2024-08-25,4.982,4.995,4.744,4.819,3038021.47
2024-08-26,4.823,4.866,4.53,4.558,2919726.61
2024-08-27,4.557,4.658,4.24,4.378,4020085.47
2024-08-28,4.378,4.453,4.165,4.254,3363625.7
2024-08-29,4.255,4.403,4.179,4.252,2528160.83
2024-08-30,4.252,4.335,4.101,4.277,2493943.55
2024-08-31,4.277,4.318,4.218,4.258,1087944.03
2024-09-01,4.259,4.259,4.032,4.068,2516218.02
2024-09-02,4.068,4.234,4.051,4.208,2199151.08
2024-09-03,4.209,4.285,4.056,4.062,2045219.35
2024-09-04,4.063,4.197,3.868,4.111,4271469.46
2024-09-05,4.111,4.127,3.973,4.021,1907467.81
2024-09-06,4.022,4.096,3.818,3.959,3968575.54
2024-09-07,3.96,4.133,3.935,4.079,1686608.94
2024-09-08,4.08,4.208,4.059,4.161,1503933.15
2024-09-09,4.162,4.341,4.111,4.286,2798131.43
2024-09-10,4.286,4.289,4.197,4.251,1848659.47
2024-09-11,4.25,4.257,4.058,4.191,2947171.99
2024-09-12,4.192,4.3,4.189,4.294,2205112.48
2024-09-13,4.294,4.472,4.27,4.42,3251739.87
2024-09-14,4.42,4.445,4.344,4.437,1857961.23
2024-09-15,4.437,4.558,4.355,4.393,2920077.53
2024-09-16,4.393,4.393,4.148,4.196,3152928.3
2024-09-17,4.195,4.245,4.137,4.22,1744000.82
